user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
ChefSam,Sunshine State,Culinarian | Hot Sauce Artisan | Kombucha Brewer | Nature Lover | Runner | #BITCOIN | 🧡💜 Nostr: npub1zfxzty3up9zmn3ky3se49vg6km69murefh480246retaevwq,2011-03-23 03:50:13,4680,2643,6232,False,2023-03-01 23:59:59,Which #bitcoin books should I think about reading next? https://t.co/32gas26rKB,['bitcoin'],Twitter for iPhone,False
Roy⚡️,,Truth-seeking pleb 📚 • Science 🧪 • Nature 🌱☀️ • 🌽 stacker • Freedom 🦅 • Dad 👨‍🍼🧡,2022-01-30 17:41:41,770,1145,9166,False,2023-03-01 23:59:47,"@ThankGodForBTC I appreciate the message, but not a fan of the religious references. Religion has nothing to do with #Bitcoin.",['Bitcoin'],Twitter for iPhone,False
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",2022-07-24 04:50:18,576,1,0,False,2023-03-01 23:59:42,"#Ethereum price update: 

#ETH $1664.02 USD
#Bitcoin 0.070428 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False
Viction,"Paris, France","https://t.co/8M3rgdjwEe

#bitcoin #blockchain #crypto #LSTM #prediction #machinelearning",2010-03-26 10:15:26,236,1829,2195,False,2023-03-01 23:59:36,"CoinDashboard v3.0 is here
Available on ios and Android
#Bitcoin https://t.co/tMCQllv9rj",['Bitcoin'],Twitter for Android,False
Rosie,London,"The flower language of jasmine is loyalty, respect, purity, chastity, simplicity, exquisiteness and charm. It is the flower of love in some countries",2013-02-16 09:57:56,12731,46,134,False,2023-03-01 23:59:32,"#Bitcoin Short Term Fractal (4H)💥

In lower timeframe, #BTC price action seems to be repeating itself while LMACD is reproducing the same sequence. 🫡 https://t.co/2MG9yL7SDa","['Bitcoin', 'BTC']",Twitter Web App,False
AkinHack,United States,Professional Recovery Services | •Crypto | •iCloud ID | •Instagram | Snapchat | DM 247| •Account Recovery | •iMessage | spying | Follow and Inbox Me | •NotFree,2014-11-08 04:50:03,197,48,13,False,2023-03-01 23:59:27,Y’all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin #BNB #facebook #snapchat #instagram.,"['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB', 'facebook', 'snapchat', 'instagram']",Twitter for Android,False
CAIR (Pump/Dump),,CAIR is a smart method to find PUMP/DUMP using the latest advanced AI techniques (not investment advice). PUMP-DUMP results https://t.co/9FJGx30Qlr,2021-08-30 18:15:59,5976,1,107,False,2023-03-01 23:59:24,"PUMP : 4-Hour Chart (1x!) (NORMAL)
Coin    : #FILUSDT
 
Entry   : 7.17
R1        : 8.17 (% 12.2)
R2       : 9.22 (% 22.2)
S1        : 6.86 (% -4.3)
 
Time   : 01/03/2023 23:59 (UTC)
Chart  : https://t.co/zKtYat6duH
 
#FIL #Bitcoin $FIL","['FILUSDT', 'FIL', 'Bitcoin']",BinanceTW,False
NFTevening,👇 Join 25k+ NFT Enthusiasts ,"The best newsletter for NFT, Metaverse, and Blockchain Games. | Contributing to the widespread adoption of NFTs! | 💟 Subscribe https://t.co/FKeDZV8y8J",2021-05-10 15:24:23,26940,2050,12198,False,2023-03-01 23:59:16,"📰TwelveFold by @yugalabs Unveils Unique #Bitcoin Collection

🟣The Yuga Labs team has created an exciting limited-edition collection of only 300 generative pieces.

🟣Each piece is inscribed on satoshis on the Bitcoin blockchain, making them truly unique and collectible.

#NFTs https://t.co/UqSa1MkQiJ","['Bitcoin', 'NFTs']",Hypefury,False
AbdeL,,#sol #NFT,2022-01-26 19:24:49,792,75,409,False,2023-03-01 23:59:09,@BitcoinBullsNFT The first my #NFT in  #Bitcoin https://t.co/hO6t69frCZ,"['NFT', 'Bitcoin']",Twitter Web App,False
PUBLORD,probably down at the pub,TOXIC HAPPY HOUR!  #Spaceshost  || M-F 2-4 w/ @Anders_  ||  #Bitcoin  ||  THH Pleb Party in Miami May 18th!,2013-12-28 18:30:40,22414,3225,63945,False,2023-03-01 23:59:08,Your first #Bitcoin Halving will age and humble at the same time.  😉😂 https://t.co/U6JwlLNlMg,['Bitcoin'],Twitter for Android,False
Bitcoin Candle Bot,Brazil,"Robot that posts the closure of the bitcoin daily candle, written by @coinsamba",2021-01-06 01:36:48,40,4,1,False,2023-03-01 23:59:00,"Candle of day 01/03/2023 closed.

Open: $ 23,130.94
High: $ 23,906.02
Low: $ 23,042.67
Close: $ 23,635.96

Change: +2.14%

#Bitcoin #Candle #BullMarket","['Bitcoin', 'Candle', 'BullMarket']",Bitcoin Candle Bot,False
FYC crypto | Sharing Information And Learning,,,2023-03-01 10:13:26,6,23,1,False,2023-03-01 23:58:57,"UBS Strategists Predict Minimal Impact of Upcoming Mt Gox Payouts on Bitcoin Value
https://t.co/yiahg9lmOe
#BTC #Bitcoin https://t.co/f98xNLYVv6","['BTC', 'Bitcoin']",Twitter Web App,False
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",2022-07-24 04:50:18,576,1,0,False,2023-03-01 23:58:42,"#Ethereum price update: 

#ETH $1665.06 USD
#Bitcoin 0.07041649538947164 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,2022-07-11 05:24:30,492,5,0,False,2023-03-01 23:58:41,"#BinanceCoin price update: $BNB

#BNB $302.75 USD

#Bitcoin 0.0128 BTC

#Ethereum 0.18183 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,False
☣️ Hugo SuperMaxi ⚡️💎🙌🇸🇻 ∞/21M,In your head,"#Bitcoin miner/investor. CEO @ FYouMoney! Podcast @FYouMoneyPod and FYouMoney! wallet. Follow my relentless search for freedom, the universe, and everything!",2020-09-18 16:50:23,3307,476,9782,False,2023-03-01 23:58:41,@stacyherbert My tweets about #Bitcoin⚡️and #ElSalvador.,"['Bitcoin', 'ElSalvador']",Twitter Web App,False
Navid Nassiri,Metaverse,I'm just trying to do my part in making the world a better place. #DeFi #web3 #blockchain #crypto #cryptocurrency #btc #eth #bahai,2009-06-17 15:05:02,3917,554,325,False,2023-03-01 23:58:23,"Shiba Inu Army Gets Excited On Wallet Provider News, Here’s Why  https://t.co/50hMWZk1Qj #crypto #cryptocurrency #blockchain #bitcoin #ethereum #antifud #fightfomo https://t.co/ykyUJLGZTn","['crypto', 'cryptocurrency', 'blockchain', 'bitcoin', 'ethereum', 'antifud', 'fightfomo']",Zapier.com,False
Bigwin freetag,"DKI Jakarta, Indonesia","🔥#Pickaw #Sorteos #Crypto #Giveaway #Freetag #Win #Bigwin #BNB #BTC #ETH🔥
Akun @/bayuhunter41 suspended ,saya juga pakai data dan wifi,pleass don't rerrol 🙏",2023-02-01 12:17:42,107,1540,2501,False,2023-03-01 23:58:18,@SirKunt @PtpWallet #Bitcoin for longterm is good 👍🔥,['Bitcoin'],Twitter for Android,False
Q.E.D,,"#QED #CryptoNews is for the people who love the future of finance. Please, Follow, Get the last news update and share it if you like.#Cryptocurrency #Blockchain",2009-09-03 09:34:02,714,4888,2340,False,2023-03-01 23:57:51,"#Bitcoin is back in the black! #BullSignal means we're seeing a massive resurgence in the price, last at around $25,000. Time to get onboard the BTC train! #Crypto","['Bitcoin', 'BullSignal', 'Crypto']",Q.E.D CryptoNews,False
AkinHack,United States,Professional Recovery Services | •Crypto | •iCloud ID | •Instagram | Snapchat | DM 247| •Account Recovery | •iMessage | spying | Follow and Inbox Me | •NotFree,2014-11-08 04:50:03,197,48,13,False,2023-03-01 23:57:50,Y’all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin #BNB.,"['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB']",Twitter for Android,False
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",2022-07-24 04:50:18,576,1,0,False,2023-03-01 23:57:41,"#Ethereum price update: 

#ETH $1663.91 USD
#Bitcoin 0.07042311 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False
AkinHack,United States,Professional Recovery Services | •Crypto | •iCloud ID | •Instagram | Snapchat | DM 247| •Account Recovery | •iMessage | spying | Follow and Inbox Me | •NotFree,2014-11-08 04:50:03,197,48,13,False,2023-03-01 23:57:38,"Looking for a professional hacker? .
Y’all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin #BNB.","['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB']",Twitter for Android,False
liuliu,英国伦敦14 Parliament Mews,"Be a positive person. Don't be sad, don't be impatient. Be strong, up, and close to the sun. Life can't wait for others to arrange it.",2012-10-05 19:29:31,16482,207,79,False,2023-03-01 23:57:37,"#Bitcoin  FUN FACT

The period of 395 days in which we have 10 red candles on the monthly chart, we call it ""Bear Market"" https://t.co/4rUmmufYet",['Bitcoin'],Twitter Web App,False
NFTBrahh,Plan3t Earth brah,"Love life, my wife, my daughter, Tory train jokes. Don't like tomatoes. #NFT Addict / Proud DankDogzNFT Owner!!",2018-01-16 18:39:17,474,107,30,False,2023-03-01 23:57:36,"⚡️ Drop your best #NFTs to get promoted! Follow, retweet and like this post👇 #eth #ethereum #crypto #NFT #NFTs #nftart #nftartists #sol #shib #bitcoin","['NFTs', 'eth', 'ethereum', 'crypto', 'NFT', 'NFTs', 'nftart', 'nftartists', 'sol', 'shib', 'bitcoin']",Trumpybot,False
Live Price Crypto,,"I Tweet the latest #BTC/#ETH/#BNB/#MATIC & #StableCoins price
+Daily/Weekly Technical Indicators 

Live since 20/03/2022

@web3africa1",2022-03-10 14:06:46,4463,9,24,False,2023-03-01 23:57:35,"Weekly 🚀

#BTC Last $23630

•Change since Monday 00h00(UTC): +0.31% 🟢
•MACD:
 -MACD Line: 99
 -Signal Line: -985

#ETH Last $1665

•Change: +1.43% 🟢
•MACD:
 -MACD Line: 2
 -Signal Line: -65

#Blockchain #Token #Bitcoin #Ethereum
(8/16)
461047","['BTC', 'ETH', 'Blockchain', 'Token', 'Bitcoin', 'Ethereum']",vaiotapi,False
Sigma Σ Nakamoto,,Σ,2015-11-06 04:53:22,573,82,12322,False,2023-03-01 23:57:27,"Are you ready?
#Bitcoin miners coming to #CoreDAO blockchain! https://t.co/vD3F9UClQC","['Bitcoin', 'CoreDAO']",Twitter for Android,False
0xMadman,Moon,Swapped all my fiat for crypto and NFTs,2021-07-20 02:08:48,139,784,585,False,2023-03-01 23:57:25,"Day 35 of my attempt to give this @Mcdonalds OG #Doge x Bukele-inspired @RealDogePunks NFT to El Presidente @nayibbukele as his #NewProfilePic for the inevitable #Bitcoin &amp; #Dogecoin bullrun. El Presidente, please let me know &amp; we'll make it happen!

https://t.co/69eemvmUW4","['Doge', 'NewProfilePic', 'Bitcoin', 'Dogecoin']",Twitter for Android,False
